month,source,source_country,listings_scraped,listings_with_price,avg_price_eur,min_price_eur,max_price_eur,distinct_products
2026-06,Audiofanzine,US,5,5,639.4,230.0,1104.0,3
2026-06,Hispasonic,ES,174,168,592.17,35.0,3500.0,117
2026-06,Noiz,GR,179,179,568.18,1.0,13000.0,125
2026-06,Soundsmarket,ES,7,7,789.86,290.0,1300.0,7
2026-05,Audiofanzine,US,2,2,871.7,87.4,1656.0,1
2026-05,Hispasonic,ES,257,245,659.54,20.0,6000.0,165
2026-05,Noiz,GR,185,185,481.22,1.0,7000.0,134
2026-05,Soundsmarket,ES,3,3,553.33,480.0,680.0,3
2026-04,Audiofanzine,US,3,3,1112.59,209.76,2116.0,3
2026-04,Hispasonic,ES,254,241,1195.15,50.0,111111.0,169
2026-04,Noiz,GR,201,201,544.95,1.0,4000.0,149
2026-04,Soundsmarket,ES,6,6,903.33,340.0,1550.0,6
2026-03,Hispasonic,ES,524,498,742.81,10.0,9999.0,322
2026-03,Noiz,GR,1557,1549,603.48,1.0,13000.0,893
2026-03,Soundsmarket,ES,103,102,980.78,82.0,4650.0,81
2023-08,Hispasonic,ES,303,303,741.31,10.0,12000.0,227
2023-06,Hispasonic,ES,361,361,855.46,20.0,13286.0,147
2023-03,Hispasonic,ES,180,180,806.05,24.0,10328.0,133
2022-12,Hispasonic,ES,189,189,1130.3,30.0,18754.0,135
